종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
006090,사조오양,"10,650","150","1.43","10,650","10,600","61,799","649,371,000","10,600","10,650","10,400","5,000",원(KRW),"9,422,739","100,352,170,350",
079660,사조해표,"10,550","-50","0.47","10,550","10,500","24,151","253,980,700","10,600","10,700","10,450","5,000",원(KRW),"7,160,000","75,538,000,000",
005090,삼광글라스,"34,450","0","0.00","34,450","34,400","3,597","124,048,000","34,300","34,700","34,300","5,000",원(KRW),"4,854,418","167,234,700,100",
001470,삼부토건,"5,260","120","2.33","5,260","5,250","341,886","1,798,359,190","5,140","5,320","5,130","5,000",원(KRW),"24,803,131","130,464,469,060",
006400,삼성SDI,"227,000","3,500","1.57","227,000","226,500","287,383","65,229,091,000","224,000","228,500","224,000","5,000",원(KRW),"68,764,530","15,609,548,310,000",
006405,삼성SDI우,"91,800","1,000","1.10","91,800","91,500","2,192","200,500,200","91,000","91,900","91,000","5,000",원(KRW),"1,617,896","148,522,852,800",
006660,삼성공조,"9,650","120","1.26","9,650","9,500","4,915","46,810,110","9,630","9,710","9,430","500",원(KRW),"8,126,314","78,418,930,100",
028260,삼성물산,"117,500","-2,500","2.08","117,500","117,000","304,050","35,758,005,000","119,500","120,000","116,500","100",원(KRW),"189,690,043","22,288,580,052,500",
02826K,삼성물산우B,"73,200","-300","0.41","73,200","73,000","658","48,197,600","73,800","73,800","72,700","100",원(KRW),"1,627,440","119,128,608,000",
207940,삼성바이오로직스,"388,500","-10,500","2.63","388,500","388,000","264,509","102,792,212,000","397,500","400,000","386,000","2,500",원(KRW),"66,165,000","25,705,102,500,000",
032830,삼성생명,"88,200","-100","0.11","88,200","88,100","347,461","30,436,262,700","87,900","88,600","86,800","500",원(KRW),"200,000,000","17,640,000,000,000",
018260,삼성에스디에스,"222,500","-1,000","0.45","222,500","222,000","76,074","16,947,979,000","222,000","225,000","221,500","500",원(KRW),"77,377,800","17,216,560,500,000",
028050,삼성엔지니어링,"15,600","-1,150","6.87","15,600","15,550","6,061,856","96,185,628,950","16,750","16,800","15,550","5,000",원(KRW),"196,000,000","3,057,600,000,000",
009150,삼성전기,"110,500","2,500","2.31","110,500","110,000","1,925,402","214,472,594,500","109,500","114,000","109,000","5,000",원(KRW),"74,693,696","8,253,653,408,000",
009155,삼성전기우,"45,400","700","1.57","45,400","45,300","7,554","344,132,150","44,400","45,900","44,400","5,000",원(KRW),"2,906,984","131,977,073,600",
005930,삼성전자,"46,350","200","0.43","46,400","46,350","13,832,454","644,179,617,419","46,650","46,950","46,250","100",원(KRW),"5,969,782,550","276,699,421,192,500",
005935,삼성전자우,"37,500","0","0.00","37,500","37,400","1,267,459","47,437,868,450","37,000","37,850","37,000","100",원(KRW),"822,886,700","30,858,251,250,000",
001360,삼성제약,"2,710","-20","0.73","2,710","2,705","120,698","326,952,240","2,745","2,750","2,690","500",원(KRW),"58,235,047","157,816,977,370",
010140,삼성중공업,"8,870","-230","2.53","8,900","8,870","8,024,571","71,574,009,440","9,040","9,050","8,750","5,000",원(KRW),"630,000,000","5,588,100,000,000",
010145,삼성중공우,"51,800","-2,700","4.95","52,100","51,800","19,996","1,075,163,600","54,300","57,700","51,800","5,000",원(KRW),"114,845","5,948,971,000",
016360,삼성증권,"34,000","550","1.64","34,000","33,950","317,063","10,807,053,550","33,800","34,350","33,750","5,000",원(KRW),"89,300,000","3,036,200,000,000",
068290,삼성출판사,"16,900","-500","2.87","16,900","16,850","603,291","10,220,483,100","17,300","17,600","16,500","500",원(KRW),"10,000,000","169,000,000,000",
029780,삼성카드,"33,300","-50","0.15","33,350","33,300","75,647","2,521,197,250","33,200","33,500","33,000","5,000",원(KRW),"115,858,891","3,858,101,070,300",
000810,삼성화재,"284,000","11,000","4.03","284,000","283,500","135,095","38,315,847,500","276,000","286,000","276,000","500",원(KRW),"47,374,837","13,454,453,708,000",
000815,삼성화재우,"179,000","5,000","2.87","179,500","179,000","47,800","8,542,706,000","177,000","179,500","177,000","500",원(KRW),"3,192,000","571,368,000,000",
006110,삼아알미늄,"4,720","-45","0.94","4,720","4,715","61,375","292,564,745","4,800","4,900","4,700","500",원(KRW),"11,000,000","51,920,000,000",
145990,삼양사,"60,600","200","0.33","60,800","60,600","12,182","735,071,900","60,800","61,000","59,700","5,000",원(KRW),"10,289,803","623,562,061,800",
145995,삼양사우,"35,850","-950","2.58","36,000","35,800","95","3,420,950","36,800","36,800","35,700","5,000",원(KRW),"370,070","13,267,009,500",
003230,삼양식품,"70,600","1,900","2.77","70,700","70,600","136,953","9,516,983,000","68,000","71,200","67,000","5,000",원(KRW),"7,533,015","531,830,859,000",
002170,삼양통상,"44,500","0","0.00","44,550","44,500","1,166","51,521,700","44,500","44,800","43,700","5,000",원(KRW),"3,000,000","133,500,000,000",
272550,삼양패키징,"18,050","400","2.27","18,050","18,000","44,348","794,070,850","17,650","18,050","17,500","5,000",원(KRW),"14,209,804","256,486,962,200",
000070,삼양홀딩스,"84,200","1,000","1.20","84,400","84,200","12,028","1,014,278,600","83,200","85,200","83,200","5,000",원(KRW),"8,564,271","721,111,618,200",
000075,삼양홀딩스우,"47,850","100","0.21","47,850","47,600","144","6,875,250","47,900","47,900","47,600","5,000",원(KRW),"304,058","14,549,175,300",
