종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
019660,글로본,"3,470","5","0.14","3,470","3,465","172,948","577,757,100","3,545","3,545","3,270","500",원(KRW),"28,523,435","98,976,319,450",
053260,금강철강,"4,035","-25","0.62","4,080","4,035","7,792","31,699,830","4,060","4,095","4,035","500",원(KRW),"18,720,000","75,535,200,000",
036190,금화피에스시,"30,700","-50","0.16","30,700","30,650","1,014","30,913,100","30,750","30,800","30,300","500",원(KRW),"6,000,000","184,200,000,000",
049080,기가레인,"2,030","25","1.25","2,030","2,025","290,750","585,663,455","2,005","2,050","1,990","500",원(KRW),"50,392,650","102,297,079,500",
035460,기산텔레콤,"2,930","-30","1.01","2,940","2,930","56,153","164,245,485","2,980","2,990","2,900","500",원(KRW),"14,577,340","42,711,606,200",
187790,나노,"2,205","-35","1.56","2,210","2,205","195,702","429,776,450","2,240","2,240","2,180","500",원(KRW),"23,851,615","52,592,811,075",
151910,나노스,"8,450","200","2.42","8,460","8,450","188,740","1,595,169,860","8,250","8,560","8,250","100",원(KRW),"109,013,645","921,165,300,250",
121600,나노신소재,"17,000","-150","0.87","17,000","16,950","60,715","1,029,130,600","17,150","17,350","16,700","500",원(KRW),"10,848,333","184,421,661,000",
039860,나노엔텍,"5,100","-30","0.58","5,100","5,090","42,103","217,009,750","5,300","5,300","5,040","500",원(KRW),"26,292,790","134,093,229,000",
091970,나노캠텍,"6,110","-150","2.40","6,110","6,100","1,049,426","6,330,134,730","6,260","6,330","5,650","500",원(KRW),"21,202,036","129,544,439,960",
051490,나라엠앤디,"5,390","-120","2.18","5,390","5,360","52,578","281,321,290","5,510","5,510","5,290","500",원(KRW),"14,200,000","76,538,000,000",
190510,나무가,"21,850","750","3.55","21,850","21,800","25,232","544,793,950","20,650","21,950","20,650","500",원(KRW),"3,430,020","74,945,937,000",
242040,나무기술,"1,655","95","6.09","1,660","1,655","1,481,603","2,441,609,555","1,590","1,720","1,575","100",원(KRW),"27,247,820","45,095,142,100",
089600,나스미디어,"34,200","-200","0.58","34,250","34,200","40,726","1,391,687,400","34,400","34,500","33,850","500",원(KRW),"8,754,691","299,410,432,200",
293580,나우아이비캐피탈,"4,320","-30","0.69","4,320","4,315","20,472","87,979,755","4,350","4,370","4,250","5,000",원(KRW),"9,480,000","40,953,600,000",
138610,나이벡,"10,150","-200","1.93","10,200","10,150","55,061","561,164,100","10,350","10,450","10,050","500",원(KRW),"6,367,958","64,634,773,700",
130580,나이스디앤비,"7,080","-90","1.26","7,160","7,080","4,982","35,522,310","7,170","7,200","7,080","500",원(KRW),"15,400,000","109,032,000,000",
036800,나이스정보통신,"19,650","50","0.26","19,650","19,600","7,768","152,340,300","19,750","19,750","19,350","500",원(KRW),"10,000,000","196,500,000,000",
111710,남화산업,"8,480","-220","2.53","8,500","8,480","192,227","1,644,392,090","8,690","8,780","8,470","200",원(KRW),"20,588,000","174,586,240,000",
091590,남화토건,"14,000","500","3.70","14,050","14,000","404,063","5,609,988,000","13,550","14,200","13,400","500",원(KRW),"11,740,000","164,360,000,000",
168330,내츄럴엔도텍,"14,100","-300","2.08","14,150","14,100","94,169","1,340,176,800","14,250","14,500","14,100","500",원(KRW),"20,665,822","291,388,090,200",
072770,네오디안테크놀로지,"1,650","-10","0.60","1,655","1,650","55,981","92,124,500","1,655","1,670","1,625","500",원(KRW),"35,957,518","59,329,904,700",
253590,네오셈,"1,870","-125","6.27","1,875","1,870","170,760","326,497,085","1,930","2,040","1,860","100",원(KRW),"33,141,514","61,974,631,180",
212560,네오오토,"4,945","80","1.64","4,945","4,940","400,805","1,951,939,250","4,785","5,060","4,730","500",원(KRW),"7,874,963","38,941,692,035",
095660,네오위즈,"12,650","-150","1.17","12,700","12,650","168,655","2,174,531,000","13,050","13,350","12,600","500",원(KRW),"21,915,008","277,224,851,200",
042420,네오위즈홀딩스,"11,350","-100","0.87","11,400","11,350","8,262","94,262,800","11,450","11,650","11,300","500",원(KRW),"8,856,866","100,525,429,100",
085910,네오티스,"4,095","-25","0.61","4,095","4,085","3,898","15,826,585","4,150","4,155","4,035","500",원(KRW),"11,013,678","45,101,011,410",
092730,네오팜,"43,900","-650","1.46","43,900","43,850","26,469","1,164,436,250","44,550","44,900","43,450","500",원(KRW),"7,461,237","327,548,304,300",
290660,네오펙트,"6,790","-150","2.16","6,800","6,790","78,680","535,466,490","7,000","7,000","6,720","500",원(KRW),"11,873,545","80,621,370,550",
153460,네이블,"4,160","-90","2.12","4,165","4,160","73,835","308,496,410","4,250","4,295","4,110","500",원(KRW),"6,530,014","27,164,858,240",
007390,네이처셀,"14,550","900","6.59","14,600","14,550","10,932,445","168,282,418,750","15,000","16,600","14,250","500",원(KRW),"53,056,399","771,970,605,450",
033640,네패스,"11,700","-350","2.90","11,700","11,650","620,396","7,326,745,750","12,200","12,250","11,600","500",원(KRW),"22,972,541","268,778,729,700",
087730,네패스신소재,"47,500","2,450","5.44","47,550","47,500","295,230","13,030,526,550","44,150","47,500","40,500","500",원(KRW),"3,515,737","166,997,507,500",
089140,넥스턴,"12,250","200","1.66","12,250","12,100","13,400","162,062,600","12,150","12,250","12,000","500",원(KRW),"11,846,520","145,119,870,000",
