번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
690,088800,에이스테크,032604,통신 및 방송 장비 제조업,"34,556,954","17,278,477,000","500",원(KRW)
691,138360,에이씨티,032004,기타 화학제품 제조업,"27,268,234","13,634,117,000","500",원(KRW)
692,039230,에이아이비트,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","60,040,385","30,020,192,500","500",원(KRW)
693,050320,에이앤티앤,074605,기계장비 및 관련 물품 도매업,"22,661,761","2,266,176,100","100",원(KRW)
694,072990,에이치시티,137209,기타 과학기술 서비스업,"4,579,934","2,289,967,000","500",원(KRW)
695,176440,에이치엔티,032602,전자부품 제조업,"13,402,200","6,701,100,000","500",원(KRW)
696,028300,에이치엘비,033101,선박 및 보트 건조업,"39,171,492","19,585,746,000","500",원(KRW)
697,067630,에이치엘비생명과학,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","36,298,625","18,149,312,500","500",원(KRW)
698,043220,에이치엘비파워,074608,상품 종합 도매업,"59,720,884","29,860,442,000","500",원(KRW)
699,239610,에이치엘사이언스,031007,기타 식품 제조업,"5,142,148","2,571,074,000","500",원(KRW)
700,044780,에이치케이,032902,특수 목적용 기계 제조업,"18,505,787","9,252,893,500","500",원(KRW)
701,033600,에이코넬,033003,자동차 신품 부품 제조업,"14,454,690","7,227,345,000","500",원(KRW)
702,071670,에이테크솔루션,032902,특수 목적용 기계 제조업,"10,000,000","5,000,000,000","500",원(KRW)
703,045660,에이텍,032603,컴퓨터 및 주변장치 제조업,"8,260,000","4,130,000,000","500",원(KRW)
704,224110,에이텍티앤,032604,통신 및 방송 장비 제조업,"5,340,000","2,670,000,000","500",원(KRW)
705,021080,에이티넘인베스트,116402,신탁업 및 집합투자업,"48,000,000","24,000,000,000","500",원(KRW)
706,089530,에이티세미콘,032601,반도체 제조업,"71,142,450","35,571,225,000","500",원(KRW)
707,182400,에이티젠,032101,기초 의약물질 및 생물학적 제제 제조업,"24,814,891","12,407,445,500","500",원(KRW)
708,109960,에이프로젠 H&G,032604,통신 및 방송 장비 제조업,"178,695,217","89,347,608,500","500",원(KRW)
709,089970,에이피티씨,032902,특수 목적용 기계 제조업,"23,234,595","2,323,459,500","100",원(KRW)
710,214870,에치디프로,032604,통신 및 방송 장비 제조업,"14,812,147","7,406,073,500","500",원(KRW)
711,230240,에치에프알,032604,통신 및 방송 장비 제조업,"58,910,104","5,891,010,400","100",원(KRW)
712,064510,에코마이스터,032902,특수 목적용 기계 제조업,"12,659,207","6,329,603,500","500",원(KRW)
713,230360,에코마케팅,137103,광고업,"16,198,937","1,619,893,700","100",원(KRW)
714,038870,에코바이오,147401,사업시설 유지·관리 서비스업,"11,527,492","5,763,746,000","500",원(KRW)
715,128540,에코캡,033003,자동차 신품 부품 제조업,"14,558,800","1,455,880,000","100",원(KRW)
716,086520,에코프로,032004,기타 화학제품 제조업,"22,090,191","11,045,095,500","500",원(KRW)
717,038110,에코플라스틱,033003,자동차 신품 부품 제조업,"25,669,370","12,834,685,000","500",원(KRW)
718,073540,에프알텍,032604,통신 및 방송 장비 제조업,"11,400,000","5,700,000,000","500",원(KRW)
719,064090,에프앤리퍼블릭,074608,상품 종합 도매업,"59,763,437","29,881,718,500","500",원(KRW)
