번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
134,001570,금양,032001,기초 화학물질 제조업,"43,226,540","21,613,270,000","500",원(KRW)
135,002990,금호산업,064101,건물 건설업,"36,035,349","181,638,075,000","5,000",원(KRW)
136,011780,금호석유화학,032001,기초 화학물질 제조업,"30,467,691","167,455,885,000","5,000",원(KRW)
137,214330,금호에이치티,033003,자동차 신품 부품 제조업,"15,887,045","7,943,522,500","500",원(KRW)
138,001210,금호전기,032804,전구 및 조명장치 제조업,"6,976,569","34,882,845,000","5,000",원(KRW)
139,073240,금호타이어,032201,고무제품 제조업,"287,260,287","1,436,301,435,000","5,000",원(KRW)
140,092440,기신정기,032902,특수 목적용 기계 제조업,"29,200,000","14,600,000,000","500",원(KRW)
141,000270,기아자동차,033001,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000","5,000",원(KRW)
142,024110,기업은행,116401,은행 및 저축기관,"559,978,815","2,799,894,075,000","5,000",원(KRW)
143,013700,까뮤이앤씨,064101,건물 건설업,"45,152,280","22,576,140,000","500",원(KRW)
144,004540,깨끗한나라,031701,"펄프, 종이 및 판지 제조업","37,240,693","188,034,265,000","5,000",원(KRW)
145,074610,나노메딕스,032901,일반 목적용 기계 제조업,"27,805,125","13,902,562,500","500",원(KRW)
146,001260,남광토건,064102,토목 건설업,"9,827,396","49,136,980,000","5,000",원(KRW)
147,008350,남선알미늄,032402,1차 비철금속 제조업,"110,179,090","55,243,490,000","500",원(KRW)
148,004270,남성,074607,기타 전문 도매업,"36,212,160","18,106,080,000","500",원(KRW)
149,003920,남양유업,031005,낙농제품 및 식용빙과류 제조업,"720,000","4,433,310,000","5,000",원(KRW)
150,002070,남영비비안,031401,봉제의복 제조업,"6,867,945","6,867,945,000","1,000",원(KRW)
151,025860,남해화학,032003,"비료, 농약 및 살균, 살충제 제조업","49,678,843","49,678,843,000","1,000",원(KRW)
152,005720,넥센,116409,기타 금융업,"53,543,977","28,572,288,500","500",원(KRW)
153,002350,넥센타이어,032201,고무제품 제조업,"97,667,877","54,083,938,500","500",원(KRW)
154,003580,넥스트사이언스,020702,기타 비금속광물 광업,"22,510,021","11,255,010,500","500",원(KRW)
155,251270,넷마블,105802,소프트웨어 개발 및 공급업,"85,266,124","8,526,612,400","100",원(KRW)
156,090350,노루페인트,032004,기타 화학제품 제조업,"20,000,000","10,231,563,000","500",원(KRW)
157,000320,노루홀딩스,116409,기타 금융업,"13,291,151","8,500,200,500","500",원(KRW)
158,006280,녹십자,032102,의약품 제조업,"11,686,538","58,432,690,000","5,000",원(KRW)
159,005250,녹십자홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업,"47,028,210","25,744,900,000","500",원(KRW)
160,004370,농심,031007,기타 식품 제조업,"6,082,642","30,413,210,000","5,000",원(KRW)
161,072710,농심홀딩스,116409,기타 금융업,"4,637,790","23,188,950,000","5,000",원(KRW)
162,058730,다스코,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","15,400,000","8,000,000,000","500",원(KRW)
163,023590,다우기술,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","44,866,617","22,433,308,500","500",원(KRW)
164,019680,대교,168501,초등 교육기관,"84,702,850","52,064,920,000","500",원(KRW)
165,006370,대구백화점,074701,종합 소매업,"10,821,611","54,108,055,000","5,000",원(KRW)
166,008060,대덕전자,032602,전자부품 제조업,"78,006,972","40,657,424,000","500",원(KRW)
167,000490,대동공업,032902,특수 목적용 기계 제조업,"23,728,210","23,728,210,000","1,000",원(KRW)
168,008110,대동전자,032604,통신 및 방송 장비 제조업,"10,490,447","5,245,223,500","500",원(KRW)
169,005750,대림비앤코,032302,"내화, 비내화 요업제품 제조업","16,672,240","16,672,240,000","1,000",원(KRW)
170,000210,대림산업,064102,토목 건설업,"34,800,000","218,500,000,000","5,000",원(KRW)
171,004440,대림씨엔에스,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","12,731,947","12,731,947,000","1,000",원(KRW)
172,006570,대림통상,032509,기타 금속 가공제품 제조업,"15,225,000","16,425,000,000","1,000",원(KRW)
173,001680,대상,031007,기타 식품 제조업,"34,648,025","36,018,248,000","1,000",원(KRW)
174,084690,대상홀딩스,116409,기타 금융업,"36,212,538","37,126,020,000","1,000",원(KRW)
175,128820,대성산업,074707,연료 소매업,"45,235,478","226,177,390,000","5,000",원(KRW)
176,117580,대성에너지,043502,연료용 가스 제조 및 배관공급업,"27,500,000","27,500,000,000","1,000",원(KRW)
177,016710,대성홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업,"16,089,459","16,089,459,000","1,000",원(KRW)
178,003540,대신증권,116601,금융 지원 서비스업,"50,773,400","434,867,000,000","5,000",원(KRW)
179,009190,대양금속,032401,1차 철강 제조업,"12,317,933","6,158,966,500","500",원(KRW)
180,014160,대영포장,031702,"골판지, 종이 상자 및 종이용기 제조업","108,394,549","54,197,274,500","500",원(KRW)
181,047040,대우건설,064101,건물 건설업,"415,622,638","2,078,113,190,000","5,000",원(KRW)
182,009320,대우부품,033003,자동차 신품 부품 제조업,"47,646,375","23,823,187,500","500",원(KRW)
183,042660,대우조선해양,033101,선박 및 보트 건조업,"107,205,752","541,028,760,000","5,000",원(KRW)
184,003090,대웅,116409,기타 금융업,"58,141,980","29,070,990,000","500",원(KRW)
185,069620,대웅제약,032102,의약품 제조업,"11,586,575","28,966,437,500","2,500",원(KRW)
186,000430,대원강업,033003,자동차 신품 부품 제조업,"62,000,000","31,000,000,000","500",원(KRW)
187,006340,대원전선,032803,절연선 및 케이블 제조업,"68,107,171","35,364,185,500","500",원(KRW)
188,003220,대원제약,032102,의약품 제조업,"19,098,606","9,549,303,000","500",원(KRW)
189,024890,대원화성,032202,플라스틱제품 제조업,"41,249,152","20,624,576,000","500",원(KRW)
190,002880,대유에이텍,033003,자동차 신품 부품 제조업,"103,311,545","51,655,772,500","500",원(KRW)
191,000300,대유플러스,032604,통신 및 방송 장비 제조업,"100,682,460","50,341,230,000","500",원(KRW)
192,012800,대창,032402,1차 비철금속 제조업,"91,140,499","45,570,249,500","500",원(KRW)
193,015230,대창단조,033003,자동차 신품 부품 제조업,"2,000,000","10,000,000,000","5,000",원(KRW)
194,001070,대한방직,031302,직물직조 및 직물제품 제조업,"5,300,000","5,300,000,000","1,000",원(KRW)
195,006650,대한유화,032001,기초 화학물질 제조업,"6,500,000","41,000,000,000","5,000",원(KRW)
196,001440,대한전선,032803,절연선 및 케이블 제조업,"856,473,009","428,236,504,500","500",원(KRW)
197,084010,대한제강,032401,1차 철강 제조업,"24,646,734","24,646,734,000","1,000",원(KRW)
198,001790,대한제당,031006,"곡물가공품, 전분 및 전분제품 제조업","8,840,002","24,044,835,000","2,500",원(KRW)
199,001130,대한제분,031006,"곡물가공품, 전분 및 전분제품 제조업","1,690,000","8,450,000,000","5,000",원(KRW)
